ANNEE,PREMPRENOM,NOMBREPREMPRENOM,ORDRE
2012,SARAH,36,33
2012,VALENTIN,36,34
2012,YANIS,36,35
2012,MAXIME,35,36
2012,VICTOR,35,37
2012,ADAM,34,38
2012,CHARLOTTE,34,39
2012,JEANNE,34,40
2012,GABIN,32,41
2012,SIMON,31,42
2012,ANNA,30,43
2012,CLÉMENCE,30,44
2012,EVA,30,45
2012,MATHÉO,30,46
2012,MATHIS,30,47
2012,NOA,30,48
2012,AXEL,29,49
2012,NINA,28,50
2012,ALEXANDRE,27,51
2012,CLARA,27,52
2012,LÉONIE,27,53
2012,LILY,27,54
2012,SAMUEL,27,55
2012,LUCIE,26,56
2012,GASPARD,25,57
2012,TIMÉO,25,58
2012,AARON,24,59
2012,LÉNA,24,60
2012,LIAM,24,61
2012,MARGAUX,24,62
2012,MAXENCE,24,63
2012,NOAH,24,64
2012,THÉO,24,65
2012,LÉON,23,66
2012,LINA,23,67
2012,AMBRE,22,68
2012,JULIA,22,69
2012,LANA,22,70
2012,LOU,22,71
2012,MARGOT,22,72
2012,ANAÏS,21,73
2012,MARTIN,21,74
2012,MATHYS,21,75
2012,CHARLIE,20,76
2012,LOUNA,20,77
2012,NOÉ,20,78
2012,OSCAR,20,79
2012,AGATHE,19,80
2012,MILA,19,81
2012,RAYAN,19,82
2012,ROBIN,19,83
2012,ROSE,19,84
2012,ADÈLE,18,85
2012,INAYA,18,86
2012,JUSTINE,18,87
2012,LENNY,18,88
2012,LISA,18,89
2012,GABRIELLE,17,90
2012,JULIE,17,91
2012,LILOU,17,92
2012,LORENZO,17,93
2012,MATHILDE,17,94
2012,NOÉMIE,17,95
2012,PAULINE,17,96
2012,VALENTINE,17,97
2012,ADRIEN,16,98
2012,ELIOTT,16,99
2012,ESTEBAN,16,100
2011,ARTHUR,72,1
2011,EMMA,64,2
2011,LOUIS,64,3
2011,LOUISE,63,4
2011,HUGO,62,5
2011,LUCAS,61,6
2011,MAXIME,61,7
